analysis,variant,seed,status,runtime_sec,checked,num_splits,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
ablation,full,0,SAT,2.029646499984665,78608,17,0.6,0.47282608695652173,0.5170454545454546,0.9144768275203057,0.4117647058823529,0.38333333333333336,0.028431372549019562,True
ablation,no_cache,0,SAT,2.020900800009258,78608,17,0.6,0.47282608695652173,0.5170454545454546,0.9144768275203057,0.4117647058823529,0.38333333333333336,0.028431372549019562,True
ablation,no_ordering,0,SAT,2.409641800011741,93312,18,0.6,0.47282608695652173,0.5170454545454546,0.9144768275203057,0.4117647058823529,0.38333333333333336,0.028431372549019562,True
ablation,full,1,SAT,2.055355899996357,78608,17,0.6666666666666666,0.40606060606060607,0.49743589743589745,0.8163074039362699,0.2727272727272727,0.3670886075949367,0.09436133486766402,False
ablation,no_cache,1,SAT,2.0362526000244543,78608,17,0.6666666666666666,0.40606060606060607,0.49743589743589745,0.8163074039362699,0.2727272727272727,0.3670886075949367,0.09436133486766402,False
ablation,no_ordering,1,SAT,2.4034668000240345,93312,18,0.6666666666666666,0.40606060606060607,0.49743589743589745,0.8163074039362699,0.2727272727272727,0.3670886075949367,0.09436133486766402,False
ablation,full,2,UNSAT,2.027071199991042,78608,17,,,,,,,,False
ablation,no_cache,2,UNSAT,2.054511999973329,78608,17,,,,,,,,False
ablation,no_ordering,2,UNSAT,2.4154162000049837,93312,18,,,,,,,,False
ablation,full,3,SAT,2.059948300011456,78608,17,0.6527777777777778,0.5698324022346368,0.712707182320442,0.7995322853059633,0.48148148148148145,0.5079365079365079,0.026455026455026454,False
ablation,no_cache,3,SAT,2.0668398000125308,78608,17,0.6527777777777778,0.5698324022346368,0.712707182320442,0.7995322853059633,0.48148148148148145,0.5079365079365079,0.026455026455026454,False
ablation,no_ordering,3,SAT,2.399930299987318,93312,18,0.6527777777777778,0.5698324022346368,0.712707182320442,0.7995322853059633,0.48148148148148145,0.5079365079365079,0.026455026455026454,False
ablation,full,4,UNSAT,2.043340199976228,78608,17,,,,,,,,False
ablation,no_cache,4,UNSAT,2.0428496999957133,78608,17,,,,,,,,False
ablation,no_ordering,4,UNSAT,2.4303851000149734,93312,18,,,,,,,,False
ablation,full,5,UNSAT,2.018842899997253,78608,17,,,,,,,,False
ablation,no_cache,5,UNSAT,2.0494055000017397,78608,17,,,,,,,,False
ablation,no_ordering,5,UNSAT,2.4041784000000916,93312,18,,,,,,,,False
ablation,full,6,SAT,2.0645662000169978,78608,17,0.6083333333333333,0.5459770114942529,0.6129032258064516,0.8908045977011495,0.4888888888888889,0.4444444444444444,0.04444444444444445,True
ablation,no_cache,6,SAT,2.0558094999869354,78608,17,0.6083333333333333,0.5459770114942529,0.6129032258064516,0.8908045977011495,0.4888888888888889,0.4444444444444444,0.04444444444444445,True
ablation,no_ordering,6,SAT,2.397420699999202,93312,18,0.6611111111111111,0.3505747126436782,0.510752688172043,0.686388384754991,0.25925925925925924,0.36507936507936506,0.10582010582010581,False
ablation,full,7,SAT,2.047668600018369,78608,17,0.6611111111111111,0.4941860465116279,0.5106382978723404,0.9677810077519381,0.3951612903225806,0.2753623188405797,0.11979897148200092,False
ablation,no_cache,7,SAT,2.0262310999969486,78608,17,0.6611111111111111,0.4941860465116279,0.5106382978723404,0.9677810077519381,0.3951612903225806,0.2753623188405797,0.11979897148200092,False
ablation,no_ordering,7,SAT,2.422431399987545,93312,18,0.6611111111111111,0.4941860465116279,0.5106382978723404,0.9677810077519381,0.3951612903225806,0.2753623188405797,0.11979897148200092,False
