dataset,source,seed,method,status,runtime_sec,checked,num_splits,min_accuracy_target,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
synthetic_mild,synthetic,0,cart,SAT,0.0014031999999133404,0,0.0,,0.8020833333333334,0.11666666666666667,0.5416666666666666,0.2153846153846154,0.023391812865497075,0.1595744680851064,0.13618265521960932,False
synthetic_mild,synthetic,0,cart_group_threshold,SAT,0.012543599999844446,361,,,0.5520833333333334,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_mild,synthetic,0,cert_tree,SAT,2.1593524999989313,78608,17.0,0.6651785714285714,0.675,0.5333333333333333,0.4625,0.8671875,0.38596491228070173,0.2553191489361702,0.13064576334453154,False
synthetic_medium,synthetic,0,cart,SAT,0.0016101000001071952,0,0.0,,0.7625,0.2336065573770492,0.8771186440677966,0.26633404609170824,0.11731843575418995,0.7108433734939759,0.5935249377397859,False
synthetic_medium,synthetic,0,cart_group_threshold,SAT,0.016637099999570637,361,,,0.5458333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_medium,synthetic,0,cert_tree,UNSAT,3.283190199999808,78608,17.0,0.7017857142857143,,,,,,,,False
synthetic_extreme,synthetic,0,cart,SAT,0.0016347000000678236,0,0.0,,0.8208333333333333,0.08163265306122448,0.8978723404255319,0.0909178837411742,0.025,0.7142857142857143,0.6892857142857143,False
synthetic_extreme,synthetic,0,cart_group_threshold,SAT,0.017204199999468983,361,,,0.45208333333333334,1.0,1.0,1.0,1.0,1.0,0.0,True
synthetic_extreme,synthetic,0,cert_tree,UNSAT,3.2666709999994055,78608,17.0,0.8117857142857143,,,,,,,,False
breast_cancer_proxy,real_proxy,0,cart,SAT,0.00181220000013127,0,0.0,,0.9064327485380117,0.9135802469135802,0.3,0.3283783783783784,0.14285714285714285,0.07017543859649122,0.07268170426065163,False
breast_cancer_proxy,real_proxy,0,cart_group_threshold,NEAR-SAT,0.014353900000060094,361,,,0.9239766081871345,0.9135802469135802,0.4444444444444444,0.4864864864864865,0.14285714285714285,0.15789473684210525,0.015037593984962405,False
breast_cancer_proxy,real_proxy,0,cert_tree,UNSAT,2.940916899999138,93312,18.0,0.842211055276382,,,,,,,,False
wine_proxy,real_proxy,0,cart,SAT,0.0005340999996406026,0,0.0,,0.8518518518518519,0.896551724137931,0.56,0.6246153846153847,0.6666666666666666,0.26666666666666666,0.39999999999999997,False
wine_proxy,real_proxy,0,cart_group_threshold,NEAR-SAT,0.011832999998659943,361,,,0.8148148148148148,0.7586206896551724,0.56,0.7381818181818183,0.3333333333333333,0.26666666666666666,0.06666666666666665,False
wine_proxy,real_proxy,0,cert_tree,UNSAT,2.1152832999996463,78608,17.0,0.8596774193548388,,,,,,,,False
diabetes_proxy,real_proxy,0,cart,SAT,0.0005063999997219071,0,0.0,,0.7593984962406015,0.4444444444444444,0.6571428571428571,0.6763285024154589,0.21875,0.37142857142857144,0.15267857142857144,False
diabetes_proxy,real_proxy,0,cart_group_threshold,SAT,0.008434699999270379,361,,,0.7293233082706767,0.4444444444444444,0.6,0.7407407407407407,0.21875,0.37142857142857144,0.15267857142857144,False
diabetes_proxy,real_proxy,0,cert_tree,SAT,2.77254609999909,93312,18.0,0.6508090614886731,0.7518796992481203,0.38095238095238093,0.5285714285714286,0.7207207207207207,0.15625,0.2571428571428571,0.10089285714285712,False
synthetic_mild,synthetic,1,cart,SAT,0.0015738000001874752,0,0.0,,0.7625,0.11206896551724138,0.5282258064516129,0.2121610950250066,0.00625,0.24752475247524752,0.24127475247524752,False
synthetic_mild,synthetic,1,cart_group_threshold,SAT,0.017308399999819812,361,,,0.54375,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_mild,synthetic,1,cert_tree,SAT,2.8921597999997175,78608,17.0,0.6687500000000001,0.6625,0.30603448275862066,0.2903225806451613,0.9486597001363019,0.18125,0.13861386138613863,0.04263613861386137,True
synthetic_medium,synthetic,1,cart,SAT,0.0020003000008728122,0,0.0,,0.75625,0.27385892116182575,0.6192468619246861,0.44224514971402945,0.15730337078651685,0.3373493975903614,0.18004602680384457,False
synthetic_medium,synthetic,1,cart_group_threshold,SAT,0.016071500000180095,361,,,0.54375,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_medium,synthetic,1,cert_tree,UNSAT,3.547348600000987,78608,17.0,0.7071428571428572,,,,,,,,False
synthetic_extreme,synthetic,1,cart,SAT,0.001561799999763025,0,0.0,,0.8354166666666667,0.016877637130801686,0.8148148148148148,0.020713463751438434,0.00975609756097561,0.5172413793103449,0.5074852817493692,False
synthetic_extreme,synthetic,1,cart_group_threshold,SAT,0.017498600000180886,361,,,0.5479166666666667,0.0,0.0,1.0,0.0,0.0,0.0,True
